                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8013,                0.56676,                0.84664,                 0.9302,                0.96178,                0.92654,                0.76329,                0.70488,                0.54467,                0.84583,              0.0006536,              0.0006536,              0.0006536
                     37,                0.74657,                0.51672,                0.84616,                0.93662,                0.96178,                0.93446,                0.77973,                0.68883,                 0.5149,                0.84334,               0.000614,               0.000614,               0.000614
                     38,                0.75888,                0.53436,                0.83881,                0.93611,                0.96178,                0.92991,                0.76474,                0.71975,                0.52289,                0.84328,              0.0005744,              0.0005744,              0.0005744
                     39,                0.76728,                0.52104,                0.84678,                0.93165,                0.95508,                0.93092,                0.77103,                0.69356,                0.54289,                0.84217,              0.0005348,              0.0005348,              0.0005348
                     40,                0.74895,                0.52779,                0.84713,                0.93742,                0.95406,                0.93006,                0.77548,                0.67966,                0.50947,                0.83855,              0.0004952,              0.0004952,              0.0004952
                     41,                0.74583,                0.55962,                0.83624,                0.93686,                0.96178,                0.92069,                0.75806,                0.70962,                0.51604,                0.84076,              0.0004556,              0.0004556,              0.0004556
                     42,                0.71074,                0.53008,                0.83504,                0.93779,                0.96017,                0.91738,                0.75008,                 0.7008,                0.51892,                0.83698,               0.000416,               0.000416,               0.000416
                     43,                0.71029,                0.52094,                0.84144,                0.93105,                0.96178,                0.91258,                0.75137,                0.69019,                0.53283,                0.83522,              0.0003764,              0.0003764,              0.0003764
                     44,                0.67676,                0.49381,                0.83684,                 0.9316,                0.96178,                0.91049,                0.75342,                0.70503,                0.53788,                0.83618,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.7066,                0.50459,                0.83803,                0.93205,                0.96098,                0.92004,                0.76479,                0.69032,                0.52725,                0.83779,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.6751,                0.51081,                0.83853,                0.93197,                0.95989,                0.92275,                0.76639,                0.69234,                0.51453,                0.83926,              0.0002576,              0.0002576,              0.0002576
                     47,                0.68807,                  0.511,                0.83004,                0.92535,                0.96178,                0.92279,                0.76682,                0.69922,                0.51223,                0.83768,               0.000218,               0.000218,               0.000218
                     48,                 0.6611,                 0.4734,                0.82689,                0.93017,                0.96178,                0.92196,                0.76212,                0.70361,                0.50657,                0.83709,              0.0001784,              0.0001784,              0.0001784
                     49,                0.63691,                0.48102,                0.82212,                0.93023,                0.96178,                0.92382,                0.76672,                0.68797,                0.49986,                0.83634,              0.0001388,              0.0001388,              0.0001388
                     50,                0.64404,                0.47479,                0.83328,                 0.9302,                0.96178,                0.91997,                0.75674,                0.68185,                0.49742,                0.83555,               9.92e-05,               9.92e-05,               9.92e-05
